NAME	FEATURE CLASS	DESCRIPTION	PHONE NUMBER	E-MAIL ADDRESS	WEB ADDRESS	LONGITUDE	LATITUDE	USER
Zamek Bechyne, Zamek 1, VI,IX ct-ne 10-15, VII-VIII ut-ne 10-15, vstupenky v infocentru+420603419590	USER_POI_PRIVATE	Zamek Bechyne, Zamek 1, VI,IX ct-ne 10-15, VII-VIII ut-ne 10-15, vstupenky v infocentru+420603419590				144681250	492917580	Host
Zamek Liblice, Liblice 61+420315632111	USER_POI_PRIVATE	Zamek Liblice, Liblice 61+420315632111				145864890	503117480	Host
Zamek Vysoka u Pribrame, Vysoka u Pribrame 69, XII-III ut-pa 10-15, IV-XI ut-ne 10-16+420318618115	USER_POI_PRIVATE	Zamek Vysoka u Pribrame, Vysoka u Pribrame 69, XII-III ut-pa 10-15, IV-XI ut-ne 10-16+420318618115				139401250	496368800	Host
Zamek Vojnice, Volenice-Vojnice 1, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Vojnice, Volenice-Vojnice 1, nepristupnonenalezeno				137061580	492252720	Host
Zamek Humprecht, Sobotka+420493571583	USER_POI_PRIVATE	Zamek Humprecht, Sobotka+420493571583				151697940	504702140	Host
Zamek Veltrusy, Veltrusy-Ostrov 59, ut-pa 10-16:30, so-ne 10-17+420315781146	USER_POI_PRIVATE	Zamek Veltrusy, Veltrusy-Ostrov 59, ut-pa 10-16:30, so-ne 10-17+420315781146				143298460	502776040	Host
zamek Mikulov, Mikulov okr.Breclav, zamek stoji na miste puvodniho hradu ze zacatku 13. stoleti. Pozdeji byl prestaven na renesancni zamek, po pozaru v r. 1719 byl upraven barokne. Na konci 2. svetove valky byl vypalen nemeckymi vojsky. K nejzajimavejsim castem zamku patri zamecka knihovna a sal predku. Nyni prostory zamku vyuziva Regionalni muzeum v Mikulove nebo jsou vyuzivany k poradani kulturnich a spolecenskych akci, jakym je kazdorocni vinobrani.+420519309014	USER_POI_PRIVATE	zamek Mikulov, Mikulov okr.Breclav, zamek stoji na miste puvodniho hradu ze zacatku 13. stoleti. Pozdeji byl prestaven na renesancni zamek, po pozaru v r. 1719 byl upraven barokne. Na konci 2. svetove valky byl vypalen nemeckymi vojsky. K nejzajimavejsim castem zamku patri zamecka knihovna a sal predku. Nyni prostory zamku vyuziva Regionalni muzeum v Mikulove nebo jsou vyuzivany k poradani kulturnich a spolecenskych akci, jakym je kazdorocni vinobrani.+420519309014				166366950	488066680	Host
Zamek Chocenice, Brezany I-Chocenice 44, Byv.zamek a zamecka kaplenenalezeno	USER_POI_PRIVATE	Zamek Chocenice, Brezany I-Chocenice 44, Byv.zamek a zamecka kaplenenalezeno				150958010	500294510	Host
Zamek Roztez, Vidice-Roztez 1, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Roztez, Vidice-Roztez 1, nepristupnonenalezeno				151893240	499047550	Host
Zamek Soutice, Soutice 1, nepristupnonenalezeno	USER_POI_PRIVATE	Zamek Soutice, Soutice 1, nepristupnonenalezeno				150545380	497281900	Host
Villaniho zamek Strizkov u Brenovic, Struharov-Strizkov, chatrajici nepristupnonenalezeno	USER_POI_PRIVATE	Villaniho zamek Strizkov u Brenovic, Struharov-Strizkov, chatrajici nepristupnonenalezeno				147763980	497875290	Host
Zamek Sazava (puvodne klaster), Zamecka 72, ut-ne 10-17 (duben a rijen pouze so-ne, cervenec,srpen do 18.45))+420327321177	USER_POI_PRIVATE	Zamek Sazava (puvodne klaster), Zamecka 72, ut-ne 10-17 (duben a rijen pouze so-ne, cervenec,srpen do 18.45))+420327321177				148974660	498774110	Host
Zamek Branna, IV-VI so-ne 9-17, VII-VIII ut-ne 9-17, IX-X so-ne 9-17+420603326508	USER_POI_PRIVATE	Zamek Branna, IV-VI so-ne 9-17, VII-VIII ut-ne 9-17, IX-X so-ne 9-17+420603326508				170116360	501511290	Host
Zamek Klobouky u Brna, namesti Miru 169/1, muzeum+420519361577	USER_POI_PRIVATE	Zamek Klobouky u Brna, namesti Miru 169/1, muzeum+420519361577				168579490	489958890	Host
Lesna, Lesna 1, zamecky park denne, zamek od 15.brezna+420571635239	USER_POI_PRIVATE	Lesna, Lesna 1, zamecky park denne, zamek od 15.brezna+420571635239				179297810	495195620	Host
